operational_date_0700,status,include_by_default,reason,source_evidence
2025-09-17,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補 with low_to_medium certainty; later count/capture-label-corrected derivative promotes to 捕獲 but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-18,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補 with low_to_medium certainty; later count/capture-label-corrected derivative promotes to 捕獲 but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-20,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補 with low_to_medium certainty; later count/capture-label-corrected derivative promotes to 捕獲 but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-22,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補; capture-label-corrected derivative promotes to confirmed capture but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-25,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補; capture-label-corrected derivative promotes to confirmed capture but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-26,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補; capture-label-corrected derivative promotes to confirmed capture but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-09-28,WEAK_EVENT_ONLY,false,"source/reconstructed lineage labels capture_or_sighting / 捕獲候補; capture-label-corrected derivative promotes to confirmed capture but no independent raw/session/GPX evidence found",2025-09 recovered DB versions
2025-10-12,RESOLVED_INCLUDE,true,"ambiguous 20:00 candidate is not needed for population proof because a separate confirmed 2025-10-13 01:40 self-capture maps to operational night 2025-10-12 under the 07:00 rule",2025-10 recovered DB
2025-10-15,DUPLICATE_SUSPECT,false,"recovery-candidate table rates event medium confidence and explicitly requires comparison with 10/17/other Katoku logs; no independent raw/session/GPX evidence found",2025-10 recovered DB + 復旧候補_要確認
2025-11-07,SOURCE_CONFLICT,false,"main/reconstructed DB says capture_or_sighting / 捕獲候補 with low/detail-insufficient provenance while capture-label-corrected derivative says confirmed capture; no independent evidence found",2025-11 DB versions + 復旧候補_要確認
2025-11-18,LIKELY_DATE_DUPLICATE,false,"the entire 18:30 capture -> immediate roadkill -> ~23:00 capture sequence duplicates 2025-10-18 in time and place (嘉鉄 -> 嘉鉄付近 -> 小名瀬〜阿室釜); recovery table explicitly flags 10/18 similarity; no independent 11/18 evidence found",2025-10/11 recovered DB + 復旧候補_要確認
